State_Name,Year,Data.DHS Denominator,Data.Number of Firms,Data.Calculated.Net Job Creation,Data.Calculated.Net Job Creation Rate,Data.Calculated.Reallocation Rate,Data.Establishments.Entered,Data.Establishments.Entered Rate,Data.Establishments.Exited,Data.Establishments.Exited Rate,Data.Establishments.Physical Locations,Data.Firm Exits.Count,Data.Firm Exits.Establishment Exit,Data.Firm Exits.Employments,Data.Job Creation.Births,Data.Job Creation.Continuers,Data.Job Creation.Count,Data.Job Creation.Rate,Data.Job Creation.Rate/Births,Data.Job Destruction.Continuers,Data.Job Destruction.Count,Data.Job Destruction.Deaths,Data.Job Destruction.Rate,Data.Job Destruction.Rate/Deaths,Data.Population,Data.Labor.Force.Percentage,Data.Employment.Percentage,Data.Labor.Force,Data.Employment,Data.Unemployment,Data.Unemployment.Rate
Alabama,1978,989063,54619,77557,7.841,27.108,10234,15.955,7501,11.694,65508,5232,5308,27751,69513,142103,211616,21.396,7.028,82769,134059,51290,13.554,5.186,2745083,59.1,55.3,1621598,1517226,104372,6.4
Alabama,1979,1060316,56155,57840,5.455,29.799,9426,14.172,7676,11.541,67388,5563,5624,31505,67940,147882,215822,20.354,6.408,103792,157982,54190,14.9,5.111,2790583,59.5,55.2,1661114,1541233,119881,7.2
Alabama,1980,1085319,55832,-6652,-0.613,31.081,8490,12.62,8714,12.953,67161,6307,6369,33722,53952,114711,168663,15.54,4.971,119762,175315,55553,16.153,5.119,2829250,59.4,54.1,1679723,1531840,147883,8.8
Alabama,1981,1073916,55303,-9092,-0.847,31.149,8328,12.413,8461,12.612,67023,6261,6350,32090,66163,101096,167259,15.575,6.161,124057,176351,52294,16.421,4.869,2864250,58.9,52.6,1686584,1505947,180637,10.7
Alabama,1982,1058794,53619,-31815,-3.005,29.581,7759,11.686,9136,13.76,65708,6599,6670,38278,57210,99393,156603,14.791,5.403,129285,188418,59133,17.796,5.585,2889583,59.5,51.2,1720073,1479959,240114,14
Alabama,1983,1026636,53737,-38897,-3.789,31.327,8384,12.787,8711,13.286,65404,5575,5707,31736,55459,105346,160805,15.663,5.402,123988,199702,75714,19.452,7.375,2911083,60.3,52,1756534,1513847,242687,13.8
Alabama,1984,1053563,57361,91617,8.696,23.41,10781,15.97,6615,9.799,69592,4899,4954,26575,74584,140350,214934,20.401,7.079,81938,123317,41379,11.705,3.928,2939000,60.8,53.9,1785713,1584171,201542,11.3
Alabama,1985,1146209,58390,35775,3.121,29.27,9893,14.086,8584,12.222,70889,6146,6253,38580,68521,135003,203524,17.756,5.978,100340,167749,67409,14.635,5.881,2969083,60.8,55,1804882,1632415,172467,9.6
Alabama,1986,1186864,59587,48170,4.059,29.577,10417,14.499,8477,11.799,72818,6041,6159,34976,84787,138903,223690,18.847,7.144,115008,175520,60512,14.789,5.098,3001083,61.7,55.8,1852269,1675271,176998,9.6
Alabama,1987,1192841,60926,21154,1.773,33.498,10767,14.599,8906,12.076,74681,6122,6248,38886,84961,135982,220943,18.522,7.123,126538,199789,73251,16.749,6.141,3035833,61.5,56.5,1867330,1714379,152951,8.2
Alabama,1988,1219534,62229,27620,2.265,30.779,10511,13.885,8701,11.494,76604,6002,6103,36409,88656,126646,215302,17.654,7.27,119987,187682,67695,15.39,5.551,3057500,61.3,56.8,1874512,1737931,136581,7.3
Alabama,1989,1266472,63386,69443,5.483,26.488,10519,13.569,8758,11.298,78402,6190,6323,36270,90135,147038,237173,18.727,7.117,107733,167730,59997,13.244,4.737,3072833,61.8,57.5,1899124,1766197,132927,7
Alabama,1990,1329938,64297,51230,3.852,26.402,9992,12.634,8631,10.913,79768,6331,6470,39475,76062,150730,226792,17.053,5.719,116527,175562,59035,13.201,4.439,3072395,62.2,57.9,1910481,1780162,130319,6.8
Alabama,1991,1354944,64042,-13182,-0.973,30.884,9771,12.215,9173,11.467,80294,6321,6482,50344,88849,120382,209231,15.442,6.557,142455,222413,79958,16.415,5.901,3115005,61.8,57.3,1924056,1783395,140661,7.3
Alabama,1992,1358794,64652,7728,0.569,30.12,9452,11.717,8603,10.665,81093,5788,5934,38702,71350,141012,212362,15.629,5.251,134277,204634,70357,15.06,5.178,3151380,62.3,57.6,1962311,1814583,147728,7.5
Alabama,1993,1388261,66339,53046,3.821,24.698,9634,11.758,7939,9.689,82784,5356,5497,31552,67123,157358,224481,16.17,4.835,113919,171435,57516,12.349,4.143,3194255,62.5,58,1996532,1852383,144149,7.2
Alabama,1994,1436272,68253,30481,2.122,26.663,10405,12.394,8241,9.816,85033,5715,5855,36026,80551,141407,221958,15.454,5.608,128391,191477,63086,13.332,4.392,3228880,63,59.1,2033548,1907892,125656,6.2
