State_Name,Data.Calculated.Net Job Creation,Data.DHS Denominator,Data.Calculated.Net Job Creation Rate,Period
Alabama,-47559,3218029,-1.477892213,1980 - 1982
Alaska,19930,345541,5.767767067,1980 - 1982
Arizona,50285,2487120,2.021816398,1980 - 1982
Arkansas,-22584,1802221,-1.253120455,1980 - 1982
California,291915,24901788,1.17226522,1980 - 1982
Colorado,96840,3220724,3.006777358,1980 - 1982
Connecticut,32879,3864494,0.850797025,1980 - 1982
Delaware,13098,707434,1.851480138,1980 - 1982
District of Columbia,-16360,990777,-1.651229288,1980 - 1982
Florida,296896,9260054,3.206201605,1980 - 1982
Georgia,57182,5284864,1.081995677,1980 - 1982
Hawaii,8922,943249,0.945879614,1980 - 1982
Idaho,-10215,731523,-1.396401754,1980 - 1982
Illinois,-314005,12322655,-2.548192739,1980 - 1982
Indiana,-198296,5390918,-3.678334562,1980 - 1982
Iowa,-71987,2662122,-2.704120998,1980 - 1982
Kansas,2396,2324108,0.103093316,1980 - 1982
Kentucky,-47026,2876311,-1.634941423,1980 - 1982
Louisiana,96732,3877594,2.494639717,1980 - 1982
Maine,3125,967756,0.322911974,1980 - 1982
Maryland,38829,3915831,0.991590291,1980 - 1982
Massachusetts,80622,6881558,1.17156609,1980 - 1982
Michigan,-389539,8616973,-4.520601376,1980 - 1982
Minnesota,-31984,4416632,-0.724171722,1980 - 1982
Mississippi,-27392,1857081,-1.475002975,1980 - 1982
Missouri,-50275,4926006,-1.02060371,1980 - 1982
Montana,-10233,625230,-1.636677703,1980 - 1982
Nebraska,-12790,1464034,-0.873613591,1980 - 1982
Nevada,21246,1039166,2.044524166,1980 - 1982
New Hampshire,20905,995790,2.099338214,1980 - 1982
New Jersey,59436,7797848,0.762210292,1980 - 1982
New Mexico,15750,1019960,1.544178203,1980 - 1982
New York,88074,17870002,0.492859486,1980 - 1982
North Carolina,-770,6012643,-0.012806348,1980 - 1982
North Dakota,6733,528481,1.274028773,1980 - 1982
Ohio,-295724,11026842,-2.681855784,1980 - 1982
Oklahoma,142042,2753577,5.158453895,1980 - 1982
Oregon,-74381,2484754,-2.993495533,1980 - 1982
Pennsylvania,-74382,12067985,-0.616358075,1980 - 1982
Rhode Island,-8282,1020624,-0.811464359,1980 - 1982
South Carolina,3344,2873056,0.116391745,1980 - 1982
South Dakota,-9429,535506,-1.760764585,1980 - 1982
Tennessee,-51315,4297009,-1.194202758,1980 - 1982
Texas,758336,15165924,5.00026243,1980 - 1982
Utah,1726,1294887,0.133293484,1980 - 1982
Vermont,2433,502706,0.483980696,1980 - 1982
Virginia,58398,4925086,1.185725488,1980 - 1982
Washington,18943,3772274,0.502163947,1980 - 1982
West Virginia,-28761,1457042,-1.973930745,1980 - 1982
Wisconsin,-70108,4788736,-1.464018898,1980 - 1982
Wyoming,14799,466280,3.173844042,1980 - 1982
Alabama,-75439,3226408,-2.338172978,2001 - 2002
Alaska,5313,421403,1.260788366,2001 - 2002
Arizona,7696,3871494,0.198786308,2001 - 2002
Arkansas,-23730,1960683,-1.210292536,2001 - 2002
California,-157307,25636860,-0.613596985,2001 - 2002
Colorado,-47436,3868605,-1.226178429,2001 - 2002
Connecticut,-8646,3088918,-0.279903837,2001 - 2002
Delaware,4405,767524,0.573923421,2001 - 2002
District of Columbia,5247,810863,0.647088349,2001 - 2002
Florida,91378,12674385,0.720965948,2001 - 2002
Georgia,-101009,6854037,-1.473715418,2001 - 2002
Hawaii,2672,875593,0.305164614,2001 - 2002
Idaho,-2792,916841,-0.304523903,2001 - 2002
Illinois,-305172,10682486,-2.85675076,2001 - 2002
Indiana,-144875,5187623,-2.792704867,2001 - 2002
Iowa,-50276,2498837,-2.011975971,2001 - 2002
Kansas,-33419,2225688,-1.50151324,2001 - 2002
Kentucky,-53763,2978520,-1.805023972,2001 - 2002
Louisiana,-33064,3176595,-1.040862937,2001 - 2002
Maine,-10663,987471,-1.07982918,2001 - 2002
Maryland,-15332,4150633,-0.36938944,2001 - 2002
Massachusetts,-80653,6099938,-1.322193767,2001 - 2002
Michigan,-192853,7927530,-2.432699719,2001 - 2002
Minnesota,-38518,4748945,-0.811085409,2001 - 2002
Mississippi,-49185,1858963,-2.64582996,2001 - 2002
Missouri,-54227,4734597,-1.145335073,2001 - 2002
Montana,925,603694,0.153223322,2001 - 2002
Nebraska,-13279,1488157,-0.892311765,2001 - 2002
Nevada,11730,1866853,0.628330136,2001 - 2002
New Hampshire,-10053,1113275,-0.903011385,2001 - 2002
New Jersey,16153,7171943,0.22522488,2001 - 2002
New Mexico,-1189,1107510,-0.107357947,2001 - 2002
New York,-168550,14513221,-1.161354878,2001 - 2002
North Carolina,-81086,6808643,-1.190927473,2001 - 2002
North Dakota,-2028,513492,-0.394942862,2001 - 2002
Ohio,-280296,9756865,-2.872808018,2001 - 2002
Oklahoma,-15391,2405446,-0.639839764,2001 - 2002
