Year,Country_Code,Country_Name,Host_city,Host_country,Gold,Silver,Bronze,MedalTotal,Population,LifeExpectancy,Region,IncomeGroup,GDP
1960,RUS,Soviet Union,Rome,Italy,43,29,31,103,119897000.0,67.46521951,Europe & Central Asia,High income,
1960,USA,United States,Rome,Italy,34,21,16,71,180671000.0,69.77073171,North America,High income,
1960,ITA,Italy,Rome,Italy,13,10,13,36,50199700.0,69.12390244,Europe & Central Asia,High income,
1960,DEU,United Team of Germany,Rome,Italy,12,19,11,42,72814900.0,69.06407317,Europe & Central Asia,High income,
1960,AUS,Australia,Rome,Italy,8,8,6,22,10276477.0,70.81707317,East Asia & Pacific,High income,
1960,TUR,Turkey,Rome,Italy,7,2,0,9,27510980.0,50.74,Europe & Central Asia,Upper middle income,
1960,HUN,Hungary,Rome,Italy,6,8,7,21,9983967.0,68.00317073,Europe & Central Asia,High income,
1960,JPN,Japan,Rome,Italy,4,7,7,18,93216000.0,67.69560976,East Asia & Pacific,High income,
1960,POL,Poland,Rome,Italy,4,6,11,21,29637450.0,67.6804878,Europe & Central Asia,High income,
1960,CZE,Czechoslovakia,Rome,Italy,3,2,3,8,9602006.0,70.34878049,Europe & Central Asia,High income,
1960,ROU,Romania,Rome,Italy,3,1,6,10,18406905.0,65.86053659,Europe & Central Asia,High income,
1960,GBR,Great Britain,Rome,Italy,2,6,12,20,52400000.0,71.12682927,Europe & Central Asia,High income,
1960,DNK,Denmark,Rome,Italy,2,3,1,6,4579603.0,72.17658537,Europe & Central Asia,High income,
1960,NZL,New Zealand,Rome,Italy,2,0,1,3,2371800.0,71.23658537,East Asia & Pacific,High income,
1960,BGR,Bulgaria,Rome,Italy,1,3,3,7,7867374.0,69.24756098,Europe & Central Asia,High income,
1960,SWE,Sweden,Rome,Italy,1,2,3,6,7484656.0,73.00560976,Europe & Central Asia,High income,
1960,FIN,Finland,Rome,Italy,1,1,3,5,4429634.0,68.8197561,Europe & Central Asia,High income,
1960,AUT,Austria,Rome,Italy,1,1,0,2,7047539.0,68.58560976,Europe & Central Asia,High income,
1960,YUG,Yugoslavia,Rome,Italy,1,1,0,2,,,,,
1960,PAK,Pakistan,Rome,Italy,1,0,1,2,45954226.0,44.932,South Asia,Lower middle income,
1960,ETH,Ethiopia,Rome,Italy,1,0,0,1,21739710.0,40.33,Sub-Saharan Africa,Low income,
1960,GRC,Greece,Rome,Italy,1,0,0,1,8331725.0,69.3,Europe & Central Asia,High income,
1960,NOR,Norway,Rome,Italy,1,0,0,1,3581239.0,73.5497561,Europe & Central Asia,High income,
1960,CHE,Switzerland,Rome,Italy,0,3,3,6,5327827.0,71.31341463,Europe & Central Asia,High income,
1960,FRA,France,Rome,Italy,0,2,3,5,46649927.0,69.86829268,Europe & Central Asia,High income,
1960,BEL,Belgium,Rome,Italy,0,2,2,4,9153489.0,69.70195122,Europe & Central Asia,High income,
1960,IRN,Iran,Rome,Italy,0,1,3,4,21388806.0,43.957,Middle East & North Africa,Upper middle income,
1960,NLD,Netherlands,Rome,Italy,0,1,2,3,11486631.0,73.39268293,Europe & Central Asia,High income,
1960,ZAF,South Africa,Rome,Italy,0,1,2,3,16520441.0,52.669,Sub-Saharan Africa,Upper middle income,
1960,ARG,Argentina,Rome,Italy,0,1,1,2,20349744.0,63.978,Latin America & Caribbean,Upper middle income,
1960,EGY,Egypt,Rome,Italy,0,1,1,2,27034499.0,45.373,Middle East & North Africa,Lower middle income,
1960,CAN,Canada,Rome,Italy,0,1,0,1,17909356.0,71.13317073,North America,High income,
1960,GHA,Ghana,Rome,Italy,0,1,0,1,6911510.0,47.096,Sub-Saharan Africa,Lower middle income,
1960,IND,India,Rome,Italy,0,1,0,1,445954579.0,45.218,South Asia,Lower middle income,
1960,MAR,Morocco,Rome,Italy,0,1,0,1,11769774.0,42.017,Middle East & North Africa,Lower middle income,
1960,PRT,Portugal,Rome,Italy,0,1,0,1,8857716.0,64.00746341,Europe & Central Asia,High income,
1960,TPE,Republic of China,Rome,Italy,0,1,0,1,,,,,
1960,SGP,Singapore,Rome,Italy,0,1,0,1,1646400.0,64.69468293,East Asia & Pacific,High income,
1960,BRA,Brazil,Rome,Italy,0,0,2,2,73092515.0,52.66,Latin America & Caribbean,Upper middle income,
1960,BWI,British West Indies,Rome,Italy,0,0,2,2,,,,,
1960,IRQ,Iraq,Rome,Italy,0,0,1,1,7084678.0,52.618,Middle East & North Africa,Upper middle income,
1960,MEX,Mexico,Rome,Italy,0,0,1,1,36268055.0,55.017,Latin America & Caribbean,Upper middle income,
1960,ESP,Spain,Rome,Italy,0,0,1,1,30455000.0,69.10926829,Europe & Central Asia,High income,
1960,VEN,Venezuela,Rome,Italy,0,0,1,1,8156937.0,58.647,Latin America & Caribbean,,
1964,USA,United States,Tokyo,Japan,36,26,28,90,191889000.0,70.16585366,North America,High income,
1964,RUS,Soviet Union,Tokyo,Japan,30,31,35,96,125345000.0,68.36717073,Europe & Central Asia,High income,
1964,JPN,Japan,Tokyo,Japan,16,5,8,29,96903000.0,70.20658537,East Asia & Pacific,High income,
1964,DEU,United Team of Germany,Tokyo,Japan,10,22,18,50,75318337.0,70.43556098,Europe & Central Asia,High income,
1964,ITA,Italy,Tokyo,Japan,10,10,7,27,51675350.0,70.31170732,Europe & Central Asia,High income,
1964,HUN,Hungary,Tokyo,Japan,10,7,5,22,10119835.0,69.38097561,Europe & Central Asia,High income,
1964,POL,Poland,Tokyo,Japan,7,6,10,23,31139450.0,68.62926829,Europe & Central Asia,High income,
1964,AUS,Australia,Tokyo,Japan,6,2,10,18,11167000.0,70.88097561,East Asia & Pacific,High income,
1964,CZE,Czechoslovakia,Tokyo,Japan,5,6,3,14,9727804.0,70.4595122,Europe & Central Asia,High income,
1964,GBR,Great Britain,Tokyo,Japan,4,12,2,18,54000000.0,71.62439024,Europe & Central Asia,High income,
1964,BGR,Bulgaria,Tokyo,Japan,3,5,2,10,8144340.0,71.12121951,Europe & Central Asia,High income,
1964,FIN,Finland,Tokyo,Japan,3,0,2,5,4548543.0,69.22097561,Europe & Central Asia,High income,
1964,NZL,New Zealand,Tokyo,Japan,3,0,2,5,2585400.0,71.32926829,East Asia & Pacific,High income,
1964,ROU,Romania,Tokyo,Japan,2,4,6,12,18919126.0,67.84512195,Europe & Central Asia,High income,
1964,NLD,Netherlands,Tokyo,Japan,2,4,4,10,12127120.0,73.70414634,Europe & Central Asia,High income,
1964,TUR,Turkey,Tokyo,Japan,2,3,1,6,30612821.0,53.714,Europe & Central Asia,Upper middle income,
1964,SWE,Sweden,Tokyo,Japan,2,2,4,8,7661354.0,73.73317073,Europe & Central Asia,High income,
